,AF3_Delta,AF3_Theta,AF3_Alpha,AF3_Beta,AF3_Gamma,F7_Delta,F7_Theta,F7_Alpha,F7_Beta,F7_Gamma,F3_Delta,F3_Theta,F3_Alpha,F3_Beta,F3_Gamma,FC5_Delta,FC5_Theta,FC5_Alpha,FC5_Beta,FC5_Gamma,T7_Delta,T7_Theta,T7_Alpha,T7_Beta,T7_Gamma,P7_Delta,P7_Theta,P7_Alpha,P7_Beta,P7_Gamma,O1_Delta,O1_Theta,O1_Alpha,O1_Beta,O1_Gamma,O2_Delta,O2_Theta,O2_Alpha,O2_Beta,O2_Gamma,P8_Delta,P8_Theta,P8_Alpha,P8_Beta,P8_Gamma,T8_Delta,T8_Theta,T8_Alpha,T8_Beta,T8_Gamma,FC6_Delta,FC6_Theta,FC6_Alpha,FC6_Beta,FC6_Gamma,F4_Delta,F4_Theta,F4_Alpha,F4_Beta,F4_Gamma,F8_Delta,F8_Theta,F8_Alpha,F8_Beta,F8_Gamma,AF4_Delta,AF4_Theta,AF4_Alpha,AF4_Beta,AF4_Gamma
0,0.5048053111681928,0.08219218371095925,0.07036405687633741,0.20361071565476038,0.16793412302141492,0.2511663352576997,0.19059541345727554,0.1310829167608503,0.15889078737886986,0.15681528421862298,0.6412691850647492,0.11535894034447727,0.04976353946020989,0.0662006207590976,0.06580523876372327,0.4689235214675138,0.1816347919688918,0.16405040303040053,0.11537485365006672,0.11192175786686596,0.6239468135402121,0.07479503402915891,0.02399726292252472,0.18823304485473222,0.16589831062997454,0.561506352800317,0.17500649573800023,0.054729395544441055,0.17341514915889453,0.17388887234807798,0.7535935595300894,0.09392180964507871,0.030823550463503244,0.06473673948393363,0.05611161039062726,0.495608622495965,0.11427689330938096,0.05978665961852319,0.16998580476885636,0.17479474460674108,0.4788547521500289,0.14395710593417488,0.13836918501995998,0.07683690240582851,0.05340312848277263,0.6813348850778078,0.0855879583661851,0.04067516260662935,0.05994323776015824,0.048170444438535395,0.37065606858890743,0.3020925182536005,0.03479950549166582,0.15881820102358402,0.18594479985790624,0.57914632378753,0.1762169114661103,0.04067296616764851,0.05202212984190476,0.06455972773630779,0.9381805431461282,0.01872945382944491,0.012207062449089945,0.021913326354803957,0.023015579087103822,0.9043388745272434,0.03388948431606654,0.0018316416612299828,0.008166846485233333,0.008562166909788725
1,0.3734319019420028,0.20662106508486724,0.062024675491932274,0.18274517541225324,0.20100073530466314,0.5540669865408603,0.02935421685818868,0.11587952758376277,0.17766434136349724,0.19232767345760607,0.6561811445723205,0.038410402575995,0.10735348592345374,0.09050421748498685,0.09902274958416331,0.7255210427798591,0.054256302435457975,0.03774528856949839,0.1821517841966243,0.1807932389774374,0.5446901837379071,0.0506434600543316,0.13552698077717007,0.12529067215506176,0.13527502695754245,0.3755909853400282,0.3118537732186983,0.0373415016780214,0.12620833588653801,0.14579910578161684,0.2930328156213484,0.31215829512965265,0.06518102762616997,0.24428103312486704,0.2098187623282793,0.4020847126748173,0.17079212768620405,0.16990277135410023,0.18729628866509165,0.128086103167661,0.6331745617627975,0.07329440879292244,0.08547586966785846,0.08995761505062679,0.09092894877019218,0.24253999789341965,0.10444281313897985,0.2172877904489472,0.31272637234978334,0.35039803541764686,0.22597586701104197,0.2137070124378623,0.14291748098607987,0.3522521620378397,0.3635033402810162,0.27017400578936346,0.2809503028493021,0.10604260940466292,0.11168573154272164,0.11327189333928044,0.9282624606075731,0.03074441184890157,0.01144086449963061,0.042558428427970016,0.03976947338540427,0.7992944992699362,0.08158173005240346,0.006662102943425985,0.031437688640447194,0.03182092902845717
2,0.5608761052824972,0.13383357872289703,0.10497794432774933,0.2184439650725725,0.21927074183199696,0.9191650333030715,0.039051888046165925,0.03321939827866242,0.01795600734932808,0.01814085950946744,0.5665345043938823,0.13733096215122068,0.0860869380660916,0.07534015115575972,0.0645916016286428,0.5287884995183728,0.14702876959726116,0.027605585971150967,0.08932970231627974,0.10244709460201527,0.17353821095217226,0.17959227812902076,0.4322294361024872,0.09909120560442784,0.11276823479606107,0.5284869764922944,0.06468291758549605,0.14026680611342288,0.0511531857533754,0.050009984232865054,0.4116227540488632,0.1964499617950086,0.1851275135390303,0.11475739423084227,0.10249952554974677,0.1644875109856784,0.02242786440471896,0.41317809393796473,0.22068454768487886,0.22591226055219438,0.3565994196463036,0.21875711411717155,0.11943296165537505,0.14512316678164375,0.16146497876791832,0.08104045082583525,0.16245860328434686,0.23831647247001575,0.3323371414681755,0.3231664744464619,0.6752839503604746,0.05147687802204776,0.08302101510711336,0.09267098237860409,0.08427658602026247,0.46859244210244133,0.16114646471271468,0.06650916535618147,0.08323712456195066,0.11005566509647824,0.6133294491906144,0.07995646623039206,0.032247810071847315,0.04602612794589273,0.036219996257013276,0.8230234079696406,0.04224447739280999,0.019170198939856695,0.02636995398736618,0.020592247418120064
3,0.7355429925192684,0.19585809486117983,0.12065522238314592,0.0831388592601723,0.08008460556060593,0.9444343038039142,0.026918622491456132,0.017795782443852683,0.0289013804886552,0.03544614114727759,0.5057391205689329,0.15770251751422434,0.04323023327613181,0.07145879517314002,0.0735374439673504,0.5281211629830619,0.09827693214841086,0.11625673843598826,0.1769662968917497,0.1633639836404149,0.5461617565401926,0.07925019004026718,0.1197407430480579,0.09587050900591038,0.0857134404957574,0.48156188533543753,0.14420185453351644,0.10966541898481351,0.07750532166873687,0.0671620729949306,0.3747310931891386,0.2233356291532626,0.11989973475666817,0.15084378412794572,0.15964053302239475,0.46739470892114915,0.11553399735619656,0.17396493916961656,0.21823874631874474,0.19363004550615084,0.4841198713941844,0.2019586742905751,0.09947788604111883,0.15944952915748153,0.12640593737575687,0.3749252126863071,0.17745804499174267,0.055004349469779536,0.31741671675885136,0.3026058754929336,0.44783809394127594,0.11805609409911917,0.05449935313333515,0.30527946921399923,0.2842360947195775,0.6009462697382629,0.10738227720004431,0.10608603056964225,0.09275628278400433,0.06748232072454022,0.9399645985672539,0.025908123326886336,0.00704459073521314,0.025441989452593433,0.029193668337322523,0.8711444307081031,0.013496116810184504,0.01154885368927583,0.00861358330345526,0.006820771524907422
4,0.7223526337851865,0.10642877330663152,0.04952154850385366,0.03410199838204445,0.03666242571120543,0.7328571723168638,0.09418447411198728,0.12257358210101955,0.03936306225495492,0.030655995631553273,0.4547514088317622,0.11037919921913351,0.05865543370599867,0.10767991003819116,0.10331583970987185,0.6646863394485617,0.054916407689585195,0.05732375710242541,0.07552930988409556,0.06039695064542505,0.672046389836189,0.12052346504492747,0.07924526775849552,0.10304067183096091,0.11186972303512524,0.6595328006245237,0.07483879152821367,0.025265977883725706,0.0902051389878677,0.0790796789546433,0.4850781389231571,0.20090623300808386,0.07511218209060701,0.14036076075239443,0.13925384232537535,0.7158506241434236,0.1327312845271888,0.06133563166185717,0.044152225909943874,0.04365905546859721,0.7708259750367888,0.01875203005085946,0.10900770157313444,0.08990143025620478,0.09296907867296168,0.6977830097165306,0.031520561640685583,0.11565161538158965,0.08305514518291066,0.07652101418635891,0.7066613999541514,0.04961654459376681,0.024846668029745646,0.05974264286752648,0.05956236218948671,0.6984298803865778,0.1268634125637291,0.06417064636503604,0.04633451424427936,0.047397051119168816,0.22739518854519677,0.20739152070553843,0.09598421742741856,0.11598664464899011,0.08468008351385428,0.9682372585455044,0.11709600703388869,0.04096508863439479,0.029618763295966986,0.027152667797162466
5,0.6687536632531734,0.054334023078378556,0.10798167621203228,0.049369898692333054,0.032613726835523535,0.40162006028032404,0.34291767523845584,0.06456218112393901,0.040467198187425765,0.057237309789140364,0.2960139224278661,0.4208010424127441,0.05288023616338046,0.08357592411160052,0.08915026731033983,0.5897068984596374,0.19973621502810765,0.015257538756796557,0.11310216054688825,0.08109838747535263,0.6367954995598365,0.12538774560181795,0.0831091347029033,0.13554219354440353,0.12505932616768545,0.6306139723519986,0.13938945858405608,0.029811666030429312,0.15595807464322478,0.11246490875033605,0.65856444287129,0.04317595842036567,0.034414258344220565,0.15272780817773984,0.16686875501473772,0.5154141905184847,0.07053583422761923,0.15068505481303943,0.10136233934328226,0.11967954974187249,0.6374580433176571,0.05861720402428711,0.04777425298113805,0.24270090993323687,0.23706915197538136,0.6902563054740579,0.025378245995649897,0.04171357104549904,0.1521297237093433,0.14926455896306368,0.8228544202718977,0.053202357158885105,0.02351762484266865,0.05424169422860674,0.052880097947328175,0.5379520211684841,0.2718752510040334,0.07102381554703081,0.0479581903162904,0.05378236433811686,0.7827425925560602,0.1412081591679751,0.02211041004911886,0.02848451306266255,0.02877433332817113,0.8776463480857746,0.050219664739074056,0.010494952026905665,0.00780785817789847,0.009864977297442075
6,0.2705211857633256,0.22828437571148522,0.08863933147584817,0.2135412446429991,0.26137943609947195,0.7216619082998011,0.038857030861757194,0.025170123477560112,0.11863648095866228,0.09536843678948438,0.5953084796522436,0.08692028202800142,0.026105519985674213,0.10855793033545044,0.1081065724962169,0.2981947436844899,0.11192388917799312,0.10540258210032553,0.30413931112877896,0.25846023719752914,0.8638979370847796,0.01796504853312633,0.00843625329950682,0.05971554344054753,0.05494735578377137,0.28156061934687276,0.3378195606157969,0.05110474029131485,0.19278920226157223,0.21274832464280505,0.9193807444407817,0.028076402534067846,0.016040505093031225,0.035990288211353826,0.03487865943721109,0.3712832168843726,0.2418142387995735,0.05916477241668296,0.16427957561440656,0.16793055812829535,0.4682163002924552,0.11714225142442772,0.14498415201016665,0.13382323239254776,0.17184030951734378,0.47395283536982785,0.15289590849249832,0.059146253794779634,0.16674116304323378,0.167496240072337,0.7838583260063466,0.04444859762101937,0.040358147745703045,0.04411326452063398,0.04412691568262205,0.7703265151808633,0.03190749121218468,0.02235435874067698,0.11873343936191358,0.10328645746519385,0.8362000685430521,0.015143685174869918,0.02814782631123155,0.016407998644438076,0.02180388852439451,0.5682275293257432,0.21445579834164183,0.03795142906804303,0.08101284926478672,0.09458793217665411
7,0.4263421109966807,0.14926678727053952,0.054621162441344975,0.22057737192881155,0.2081706594343124,0.9152594006518102,0.018581983779332113,0.10909393167576892,0.05134482131558614,0.048375714877110135,0.28941263588269556,0.13979383244884647,0.20653501487202064,0.2795550564623936,0.2635548719857439,0.5160500977714142,0.1325995220663973,0.07892685351905206,0.17995894145019373,0.14924099312127279,0.4165634045796861,0.12350678300111907,0.09630211507806426,0.33293594739671506,0.3722137442516819,0.742250903413082,0.06240261817177786,0.12484807151622154,0.10736046947617561,0.10453128166459077,0.8337736477484832,0.05153626930514148,0.044008574086358554,0.03429031720796903,0.027806463504991167,0.5718070693182076,0.11625359096803728,0.10281878105220807,0.18143112849854276,0.10381929448113618,0.4003449398280391,0.06404801623362259,0.10253970037594315,0.2729695322916272,0.32121311307600314,0.4673830227749836,0.0922785660353766,0.1450203100639671,0.15039070388441658,0.13694835307918046,0.7013641970843811,0.19203301269173537,0.03317896283054417,0.13257181761228232,0.13122342672804174,0.7875612121085112,0.10402099122223629,0.03467930465099904,0.04805669856603842,0.04938826216513553,1.002761429915644,0.027035427805137107,0.03538858422072678,0.04272578449928615,0.04623031092503437,1.0275624165742425,0.10039129493555567,0.03632080695727547,0.027995579237681402,0.0314022184989942
8,0.5707307155228225,0.23923568930433728,0.05630856589766147,0.1230691497553242,0.10728968377574157,0.7323758541127867,0.14893930692978857,0.052811539049775244,0.048289420312535754,0.04718868085532285,0.2881351250091023,0.26106055577457693,0.1235961903851205,0.1807918117578634,0.18832417621992964,0.6143847528509,0.2491254783993969,0.05107093390321868,0.07163908435655335,0.058806305949901515,0.610480450749264,0.06671890067494451,0.07850064943184545,0.11170365097019634,0.11033096210852442,0.804085841004302,0.061389735691457815,0.01048178953794574,0.10998428180692744,0.09737716456482835,0.8450242307098693,0.005094958348052581,0.053273041629040487,0.04997855505491366,0.02992140633338368,0.8385730662466194,0.02356774300535879,0.06307729240706401,0.03899466096042202,0.03131039371390638,0.6781253148721232,0.09526189382430979,0.07203943352548352,0.11968102380933804,0.08460103869477813,0.6007511964890908,0.13555617089498093,0.06591748713782752,0.10493590982125485,0.08521043833104554,0.9996358831428023,0.03298389007129713,0.008675256314662922,0.07260223646513786,0.08881561623621889,0.7544171620296786,0.09887350566121143,0.04206694422079918,0.03188482191793133,0.03139435707083914,0.7680408237842661,0.03319448539035295,0.05909224012941132,0.03102676493916451,0.029284884399154578,0.8268483891213328,0.06171298069906857,0.005754540832283105,0.014147091756932274,0.013160670210357071
9,0.6210769906502601,0.051545868802839144,0.07857665119101605,0.05064534017286185,0.056341632695510784,0.949491541602794,0.015487397707873824,0.013143573471140538,0.022726032339820575,0.019023545318114624,0.813768186414061,0.0560312035004612,0.0446552543985403,0.04430646924029914,0.04245353068382493,0.6042403243894066,0.12642818146962198,0.07855921742400646,0.12424703225261009,0.12781952448688438,0.729061234137268,0.08255461811577573,0.06020871234071361,0.03581301427975079,0.04124567630327676,0.6409061214332501,0.12437772161052929,0.06069866776945007,0.053999022342352807,0.05686779530273474,0.3867271154024387,0.13066850733078506,0.11725384003528425,0.208160100734532,0.24931220359681877,0.5447487209419817,0.0584507295593438,0.20805430156287436,0.20208128831327096,0.1700732572939392,0.3284761710723936,0.18396479897838924,0.17789904550189772,0.13849656178493125,0.17547685236918223,0.24168774082215377,0.1074805620428647,0.30961013052276876,0.0812460709335286,0.09574396259030331,0.7167128734272767,0.031505561407367016,0.20361561124108013,0.0912260936278932,0.09655138932543259,0.3815550248038397,0.3831764568413361,0.11109115949844213,0.07271555729483868,0.07065464788539542,0.9161459536302266,0.023739288102410834,0.027512965766334697,0.022284396845797073,0.022145770267784293,0.6112413662357218,0.1780195328690791,0.036263064634410695,0.024809934889839482,0.026656582885691494
